"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FKC6U8EV","bookSection","2025","Maffei, Carmine; Lindenbergh, Roderik; Menenti, Massimo","Probabilistic approaches for the prediction of forest fire danger using optical and thermal satellite data","Satellite Remote Sensing for Forest and Environmental Monitoring","978-0-443-40296-8","","10.1016/B978-0-443-40296-8.00010-0","","Operational forest fire danger rating systems uses meteorological variables to estimate vegetation conditions and predict fire occurrence and spread. This study introduces a novel approach to relate live fuel conditions retrieved from MODIS optical and thermal bands with fire behaviour and the probability of extreme events. The analysis focusses on land surface temperature (LST) anomaly and on the perpendicular moisture index (PMI) to evaluate fire characteristics like burned area, duration, and rate of spread. Results show that PMI is a strong covariate of burned area and rate of spread but not fire duration, while LST anomaly is a strong covariate of burned area and fire duration, and a weak covariate of rate of spread. Comparing these findings with the Canadian forest fire weather index (FWI) system components reveals that LST anomaly and PMI are effective predictors of fire characteristics, potentially enhancing fire danger models and preparedness strategies. © 2026 Elsevier Ltd. All rights reserved.","2025","2026-06-19 02:01:14","2026-06-19 02:01:14","","285-327","","","","","","","","","","","Elsevier","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\SUUFDWP8\105026926663.html","","","Earth observation; Fire danger; Fire weather index (FWI); Forest fires; Harmonic analysis of time series; Land surface temperature (LST); Live fuel moisture content; LST anomaly; MODIS; Predicition; Satellite; Statistical applications; Thermal infrarred; Time series; Visible spectrum","Gonzálvez, Pablo Rodríguez; Guerra-hernández, Juan; Ferreiro, Eduardo Manuel González","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4E4NY9L","conferencePaper","2025","Moussa, Mark; Williams, Andre; Roffe, Seth; Morton, Douglas","PyroFocus: A Deep Learning Approach to Real-Time Wildfire Detection in Multispectral Remote Sensing Imagery","Proc. - IEEE/CVF Int. Conf. Computer Vis. Workshops, ICCV-W","979-8-3315-8988-2","","10.1109/ICCVW69036.2025.00298","","Rapid and accurate wildfire detection and quantification are crucial for emergency response and environmental management. In airborne and spaceborne missions, it is useful for real-time detection algorithms to not only classify whether the observed area consists of no fire, active fire or post-fire, but also to discriminate among varying fire intensities. Hyperspectral and multispectral thermal imagers provide sufficient spectral information to address these challenges; however, high data dimensionality and limited onboard resources complicate real-time processing. With wildfires becoming more common, the need for real-time detection is crucial for successful wildfire management and damage mitigation. It is therefore imperative for on-board solutions to achieve both high accuracy and low inference latency at minimal computational cost. In this work, we present several contributions divided into two main parts. First, we systematically evaluate multiple cutting-edge deep learning architectures, such as custom Convolutional Neural Networks (CNN) and Transformer-based models for multi-class fire classification. Second, we propose a novel adaptation of a two-stage pipeline, which we call PyroFocus, consisting of classification of fires and fire radiative power (FRP) regression or image segmentation, designed to significantly reduce inference times and computational requirements for onboard wildfire detection in airborne and spaceborne applications. We evaluate model accuracy, inference latency, and computational cost to identify the most effective solution for resource-constrained environments. Our study leverages a dataset from NASA's MODIS/ASTER Airborne Simulator (MASTER), which provides data similar to that of an in-house next-generation fire detection sensor, NASA's Compact Fire Imager (CFI) [19]. Experimental results indicate that the proposed two-stage pipeline provides favorable trade-offs among inference speed and accuracy, demonstrating strong potential for edge deployment in future wildfire monitoring missions. © 2025 IEEE.","2025","2026-06-19 02:01:20","2026-06-19 02:01:20","","2855-2864","","","","","","PyroFocus","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","","","Scopus","","Journal Abbreviation: Proc. - IEEE/CVF Int. Conf. Computer Vis. Workshops, ICCV-W","","C:\Users\gonza\Zotero\storage\JZG3K42R\105035171984.html","","","AI; Artificial Intelligence; Deep learning; Machine learning; ML; Remote Sensing; Wildfires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 2025 IEEE/CVF International Conference on Computer Vision Workshops, ICCV-W 2025","","","","","","","","","","","","","","",""
"LLX3AZTJ","journalArticle","2024","Zabrodin, A.N.; Ponomarev, E.I.","Assessment of Dependence between the Degree of Fire Impact on Vegetation and the Fire Radiative Power","Cosmic Research","","0010-9525","10.1134/S0010952524601130","","Abstract: The article provides the results of analysis of the characteristics of wildfires in various predominant stands of Siberia (50°–75° N, 60°–150° E) based on satellite monitoring data from 2015 to 2021. Thirty-six fires were selected for seven types of different tree stands (vegetation types) with a total area of 19 382 km2. Seventy-two images of the Landsat-8 OLI/TIRS (Operational Land Imager/Thermal Infrared Sensor) satellite were used in the analysis, as well as data from standard products of MODIS (Moderate Resolution Imaging Spectroradiometer). Based on the processing of remote data (threshold classification of dNBR (differenced normalized burn ratio)) values, statistical patterns of the ratio of disturbance classes for various types of tree stands were revealed. It is shown that, in the case of fires in light coniferous stands, the ratio of disturbance classes is on average 44, 29, and 27% for low, medium and high levels of fire impact, respectively. While this proportion is 63, 14 and 23% in the case of dark coniferous forests, and 59, 26, and 15% in the case of tundra vegetation, respectively. The conjugate analysis of the radiation power of active fire zones using the fire radiative power (FRP) technique demonstrated an increase in the intensity of fires in terms of integral FRP values, proportional to the increase in the degree of fire impact on vegetation. For a representative sample of fires (in various postfire polygons in seven variants of vegetation cover), a significant (R2 = 0.77–0.94, p < 0.05) level of correlation was revealed between the values of the normalized burn ratio/differenced normalized burn ratio (NBR/dNBR) and the integral values of the FRP parameter. It has been instrumentally confirmed that high intensity fires (20 000–100 000 MW) are mainly recorded in light coniferous plantations, where the proportion of medium and high degree of fire impact is the greatest (~56%) as well. The results allow us to consider these indices as complementary when solving the problem of estimating the amount of burning biomass, for example, when calculating the volume of direct fire emissions. © Pleiades Publishing, Ltd. 2024.","2024","2026-06-19 02:01:24","2026-06-19 02:01:24","","S165-S171","","Suppl 1","62","","Cosm. Res.","","","","","","Pleiades Publishing","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\F293XI26\85217741147.html","","","differenced normalized burn ratio; disturbance class; dominant tree stands; fire radiative power; postfire plots; radiation power; Siberia; vegetation fires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MVXSPAEU","journalArticle","2024","Vega-Nieva, Daniel José; Briseño-Reyes, Jaime; López-Serrano, Pablito-Marcelo; Corral-Rivas, José Javier; Pompa-García, Marín; Cruz-López, María Isabel; Cuahutle, Martin; Ressl, Rainer; Alvarado-Celestino, Ernesto; Burgan, Robert E.","Autoregressive Forecasting of the Number of Forest Fires Using an Accumulated MODIS-Based Fuel Dryness Index","Forests","","1999-4907","10.3390/f15010042","","There is a need to convert fire danger indices into operational estimates of fire activity to support strategic fire management, particularly under climate change. Few studies have evaluated multiple accumulation times for indices that combine both dead and remotely sensed estimates of live fuel moisture, and relatively few studies have aimed at predicting fire activity from both such fuel moisture estimates and autoregressive terms of previous fires. The current study aimed at developing models to forecast the 10-day number of fires by state in Mexico, from an accumulated Fuel Dryness Index (FDI) and an autoregressive term from the previous 10-day observed number of fires. A period of 50 days of accumulated FDI (FDI50) provided the best results to forecast the 10-day number of fires from each state. The best predictions (R2 > 0.6–0.75) were obtained in the largest states, with higher fire activity, and the lower correlations were found in small or very dry states. Autoregressive models showed good skill (R2 of 0.99–0.81) to forecast FDI50 for the next 10 days based on previous fuel dryness observations. Maps of the expected number of fires showed potential to reproduce fire activity. Fire predictions might be enhanced with gridded weather forecasts in future studies. © 2023 by the authors.","2024","2026-06-19 02:01:26","2026-06-19 02:01:26","","","","1","15","","Forests","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","","","Scopus","","","","C:\Users\gonza\Zotero\storage\4AGJAJZ5\85183321585.html","","","fire activity; fire danger; fire occurrence; fuel moisture; hazard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDZLV6JH","journalArticle","2026","Al-Busaidi, Ahmed; Mani, Joseph; Yoosuf, Mohamed Sirajudeen; P, Vijaya","A hybrid blockchain migration framework for converting traditional databases into blockchain-based EMR systems","Scientific Reports","","2045-2322","10.1038/s41598-026-36787-6","https://www.nature.com/articles/s41598-026-36787-6","Electronic Medical Records (EMRs) are crucial to modern healthcare. However, traditional relational databases fail to fulfill increased expectations for integrity, auditability, and compliance in regulated environments. This paper proposes a Hybrid Blockchain Migration Framework that integrates a conventional MySQL-based EMR system (OpenMRS) with a permissioned blockchain network (Hyperledger Fabric). Sensitive data fields are selectively mirrored to the blockchain, ensuring tamper-evident logging while retaining the high performance of SQL for routine operations. A middleware layer, implemented using Java Spring Boot, monitors changes in the EMR and commits cryptographic hashes and metadata to the blockchain in near real-time. We evaluate the hybrid system against both standalone MySQL and full-blockchain implementations using controlled benchmarks, analyzing latency, throughput, resource utilization, and auditability. Results show that the hybrid architecture sustains near-native responsiveness (median 2.1 ms versus 1.6 ms for pure MySQL and 60.5 ms for Fabric) and delivers 480 Transaction Per Second (TPS), while incurring only modest overhead (47% of i7-9750H CPU, 1.15 GB RAM) and enhancing data integrity and compliance with regulations such as Oman’s Personal Data Protection Law (PDPL). The framework is extensible to multi-institutional deployments and supports regulatory alignment, making it a viable pathway for blockchain adoption in clinical settings.","2026-02-05","2026-06-19 02:01:59","2026-06-19 02:01:59","2026-06-19 02:01:59","7348","","1","16","","Sci Rep","","","","","","Nature Publishing Group","","en","2026 The Author(s)","","","","www.nature.com","","","","C:\Users\gonza\Zotero\storage\HVDSJ2G6\Al-Busaidi et al. - 2026 - A hybrid blockchain migration framework for converting traditional databases into blockchain-based E.pdf","","","Computational biology and bioinformatics; Engineering; Health care; Mathematics and computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRM7LS37","conferencePaper","2026","Martinez-Mosquera, Diana; Navarrete, Rosa; Recalde, Lorena; Andrade-Cabrera, Andres","Polyglot Persistence in Heterogeneous NoSQL Database Systems with Python","Commun. Comput. Info. Sci.","978-3-031-98286-6","","10.1007/978-3-031-98287-3_28","","Modern applications often require functionalities that single types of database systems cannot adequately fulfil, prompting the use of multiple types of databases for effective data management. Polyglot persistence enables the integration of various data storage technologies within a single application, leveraging the strengths of each system. This approach, however, introduces complexities in design and implementation, increasing programming complexity and necessitating knowledge of multiple languages. This article presents a practical method for achieving application-coordinated polyglot persistence across key-value, column-oriented, and document-oriented NoSQL databases, specifically focusing on Redis, Cassandra, and MongoDB, using Python. Our proposed three-layer architecture enhances data management and analytics by utilizing Jupyter Notebooks for interactive applications and employing Python libraries for orchestration, integrating specialized NoSQL databases. We encountered specific challenges, such as memory overload in Cassandra during complex query operations, which highlights the limitations in scalability under certain conditions. Additionally, our findings indicate significant variations in query execution times, with MongoDB demonstrating the fastest responses and Cassandra showing delays when handling complex queries. Using the SSB from TPC-H with a dataset of 6,000,000 entries, we evaluated loading times and query execution performance. This study aims to serve as a comprehensive guide for researchers and industry professionals seeking to implement a unified interface across heterogeneous NoSQL engines, providing insights into both the potentials and hurdles of polyglot persistence. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","2026","2026-06-19 02:02:02","2026-06-19 02:02:02","","390-404","","","2392 CCIS","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","","","Scopus","","Journal Abbreviation: Commun. Comput. Info. Sci.","","","","","databases; heterogeneous; NoSQL; NoSQL database performance; polyglot database systems; polyglot persistence; python; SSB dataset evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Communications in Computer and Information Science","","","","","","","","","","","","","","",""
"NDFDHKN8","journalArticle","2025","Bjeladinović, Srđa","Extending hybrid SQL/NoSQL database by introducing statement rewriting component","Computer Science and Information Systems","","","","https://doiserbia.nb.rs/Article.aspx?ID=1820-02142500034B","Contemporary organisations often include different business subdomains, for which it is neither easy nor optimal to decide on using an exclusive database type. The hybrid SQL/NoSQL databases encompass various types of databases unified into a unique logical database. At the same time, they provide the usage benefits of working with the SQL and the NoSQL databases simultaneously. Recently, there has been an increase in research that deals with the challenges of hybrid databases’ query optimisation, especially query rewriting. This trend opened up possibilities for analysing the influence of applying different statement rewriting techniques to other data manipulation statements besides queries (i.e. INSERT, UPDATE and DELETE) and its impact on the average execution times. In this paper, a process model for applying automatic hybrid statements’ rewriting was designed, and the architecture for the hybrid database was extended with the newly developed Statement Rewriting Component (SRC). The tested use cases were conducted on the example of Oracle/MongoDB/Cassandra hybrid before and after introducing SRC. The tests have shown particular decreases in the average execution times of the system with the SRC.","2025","2026-06-19 02:02:05","2026-06-19 02:02:05","2026-06-19 02:02:05","1011-1046","","3","22","","","","","","","","","","","","","","","doiserbia.nb.rs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MURUT2T","journalArticle","2023","Falcão, Fúlvio; Moura, João; Silva, Gabriel; Araujo, Carlos; Sousa, Erica; Tavares, Eduardo","Energy Consumption and Performance Evaluation of Multi-Model NoSQL DBMSs","Revista de Informática Teórica e Aplicada","","2175-2745","10.22456/2175-2745.136568","https://seer.ufrgs.br/index.php/rita/article/view/136568","New applications have required data storage using multiple data models, which are usually known as polyglot persistence applications. Their implementation is often complex, as the system must simultaneously manage and store data in multiple database management systems (DBMS). Over the years, multi-model DBMSs have been conceived, which commonly integrate multiple NoSQL data models into a single system. To demonstrate their feasibility, some researches have evaluated multi-model NoSQL DBMSs in the context of performance, but energy consumption is usually not taken into account. Indeed, energy consumption is an issue that should not be neglected due to the respective cost and environmental sustainability. This paper presents a performance and energy consumption evaluation of multi-model and single-model NoSQL DBMSs, more specifically, ArangoDB (multi-model), OrientDB (multi-model), MongoDB (document) and Redis (key-value). The experiments are based on Yahoo! Cloud Serving Benchmark (YCSB), and results demonstrate energy consumption may vary significantly between the evaluated DBMSs for different commands (e.g., read) and workloads. The proposed evaluation contributes to the state of the art, as storage system designers have additional insights regarding the behavior of multi-model NoSQL DBMSs for distinct workloads and energy usage.","2023","2026-06-19 02:02:10","2026-06-19 02:02:10","2026-06-19 02:02:10","132-140","","2","30","","","","","","","","","","en","Copyright (c) 2023 Fúlvio Falcão, João Moura, Gabriel Silva, Carlos Araujo, Erica Sousa, Eduardo Tavares","","","","seer.ufrgs.br","","","","C:\Users\gonza\Zotero\storage\VK5H2T88\Falcão et al. - 2023 - Energy Consumption and Performance Evaluation of Multi-Model NoSQL DBMSs.pdf","","","data storage systems; energy consumption; NoSQL databases; performance evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJBNPUXC","journalArticle","2025","Paiva, Camila A.; Maximino, Raquel; Paiva, Frederico; Vieira, Rafael Accetta; Espanha, Nicole; Pimentel, João Felipe; Wiese, Igor; Gerosa, Marco Aurélio; Steinmacher, Igor; Murta, Leonardo; Braganholo, Vanessa","Analyzing the adoption of database management systems throughout the history of open source projects","Empirical Software Engineering","","1573-7616","10.1007/s10664-025-10627-z","https://doi.org/10.1007/s10664-025-10627-z","The appropriate selection of DBMSs (Database Management Systems) is relevant for the success of modern software applications. Relational DBMSs are popular for structured data management, while non-relational systems, such as NoSQL databases, have gained traction for handling unstructured data and scaling in dynamic environments. These varying DBMS characteristics have led to an increasing trend of combining multiple systems within a single application to meet diverse requirements. However, existing work does not analyze whether DBMS are replaced or used together in a broad scope. This paper presents an empirical study on DBMS usage across 362 popular open-source Java projects hosted on GitHub. Our analysis focuses on the most widely adopted DBMSs, both relational and non-relational, as ranked by the DB-Engines website. By examining DBMS integration patterns, stability, and migration trends, we aim to uncover insights into the factors driving DBMS choices in real-world applications. We investigated DBMS popularity, usage stability, migration patterns, synergy among DBMS, and the role of Object-Relational Mappers (ORMs) in DBMS interactions. We applied heuristics to detect DBMS presence, tracked usage trends over time, and analyzed the coexistence and replacement of different systems. We also examined ORM frameworks to understand their impact on DBMS management and query-building practices. Our findings reveal that MySQL and PostgreSQL are the most popular DBMSs, although some projects replace them with other DBMSs. While certain popular DBMSs (e.g., Redis, MongoDB) usually stay in the project after they are introduced (and therefore their adoption is stable), others (e.g., HyperSQL) are frequently replaced as project requirements evolve. We also observed patterns of polyglot persistence, where multiple DBMSs coexist to handle varied data types. Notably, Informix is a relational DBMS designed to handle real-time data processing and is always used with other DBMSs. Additionally, we identified ORM usage trends that facilitate database interactions and mitigate migration complexities. These insights contribute to a broader understanding of DBMS adoption, providing valuable guidance for developers and architects in selecting and managing database infrastructure over time.","2025-02-22","2026-06-19 02:02:16","2026-06-19 02:02:16","2026-06-19 02:02:16","71","","3","30","","Empir Software Eng","","","","","","","","en","","","","","Springer Link","","","","C:\Users\gonza\Zotero\storage\LZIV5D3T\Paiva et al. - 2025 - Analyzing the adoption of database management systems throughout the history of open source projects.pdf","","","DBMS; Java; Mining software repositories; Non-relational DBMS; Relational database","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KP2VJYRE","journalArticle","2025","Hidalgo, Andrés; Contreras-Vásquez, Luis; Nuñez, Verónica; Paredes-Beltran, Bolivar","Wildfire Risk Assessment in Ambato, Ecuador: Drought Impacts, Fuel Dynamics, and Wildland–Urban Interface Vulnerability","Fire","","2571-6255","10.3390/fire8040130","https://www.mdpi.com/2571-6255/8/4/130","Wildfires represent an increasing threat to ecosystems and communities, driven by climate change, fuel dynamics, and human activities. In Ambato, Ecuador, a city in the Andean highlands, these risks are exacerbated by prolonged droughts, vegetation dryness, and urban expansion into fire-prone areas within the Wildland–Urban Interface (WUI). This study integrates climatic, ecological, and socio-economic data from 2017 to 2023 to assess wildfire risks, employing advanced geospatial tools, thematic mapping, and machine learning models, including Multinomial Logistic Regression (MLR), Random Forest, and XGBoost. By segmenting the study area into 1 km2 grid cells, microscale risk variations were captured, enabling classification into five categories: ‘Very Low’, ‘Low’, ‘Moderate’, ‘High’, and ‘Very High’. Results indicate that temperature anomalies, reduced fuel moisture, and anthropogenic factors such as waste burning and unregulated land-use changes significantly increase fire susceptibility. Predictive models achieved accuracies of 76.04% (MLR), 77.6% (Random Forest), and 76.5% (XGBoost), effectively identifying high-risk zones. The highest-risk areas were found in Izamba, Pasa, and San Fernando, where over 884.9 ha were burned between 2017 and 2023. The year 2020 recorded the most severe wildfire season (1500 ha burned), coinciding with extended droughts and COVID-19 lockdowns. Findings emphasize the urgent need for enhanced land-use regulations, improved firefighting infrastructure, and community-driven prevention strategies. This research provides a replicable framework for wildfire risk assessment, applicable to other Andean regions and beyond. By integrating data-driven methodologies with policy recommendations, this study contributes to evidence-based wildfire mitigation and resilience planning in climate-sensitive environments.","2025-04","2026-06-19 02:02:23","2026-06-19 02:02:23","2026-06-19 02:02:23","130","","4","8","","","Wildfire Risk Assessment in Ambato, Ecuador","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","C:\Users\gonza\Zotero\storage\935L5AQQ\Hidalgo et al. - 2025 - Wildfire Risk Assessment in Ambato, Ecuador Drought Impacts, Fuel Dynamics, and Wildland–Urban Inte.pdf","","","Ambato; climate variability; geospatial analysis; land-use planning; machine learning; wildfire risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G29LWCL2","journalArticle","2022","Letsoin, Sri Murniani Angelina; Purwestri, Ratna Chrismiari; Rahmawan, Fajar; Herak, David","Recognition of Sago Palm Trees Based on Transfer Learning","Remote Sensing","","2072-4292","10.3390/rs14194932","https://www.mdpi.com/2072-4292/14/19/4932","Sago palm tree, known as Metroxylon Sagu Rottb, is one of the priority commodities in Indonesia. Based on our previous research, the potential habitat of the plant has been decreasing. On the other hand, while the use of remote sensing is now widely developed, it is rarely applied for detection and classification purposes, specifically in Indonesia. Considering the potential use of the plant, local farmers identify the harvest time by using human inspection, i.e., by identifying the bloom of the flower. Therefore, this study aims to detect sago palms based on their physical morphology from Unmanned Aerial Vehicle (UAV) RGB imagery. Specifically, this paper endeavors to apply the transfer learning approach using three deep pre-trained networks in sago palm tree detection, namely, SqueezeNet, AlexNet, and ResNet-50. The dataset was collected from nine different groups of plants based on the dominant physical features, i.e., leaves, flowers, fruits, and trunks by using a UAV. Typical classes of plants are randomly selected, like coconut and oil palm trees. As a result, the experiment shows that the ResNet-50 model becomes a preferred base model for sago palm classifiers, with a precision of 75%, 78%, and 83% for sago flowers (SF), sago leaves (SL), and sago trunk (ST), respectively. Generally, all of the models perform well for coconut trees, but they still tend to perform less effectively for sago palm and oil palm detection, which is explained by the similarity of the physical appearance of these two palms. Therefore, based our findings, we recommend improving the optimized parameters, thereby providing more varied sago datasets with the same substituted layers designed in this study.","2022-01","2026-06-19 02:02:31","2026-06-19 02:02:31","2026-06-19 02:02:31","4932","","19","14","","","","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","C:\Users\gonza\Zotero\storage\WX9YD2LP\Letsoin et al. - 2022 - Recognition of Sago Palm Trees Based on Transfer Learning.pdf","","","classification; deep learning; models; sago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
